Energy Demand Summary
,,Total
Space heat demand,kWh/m2,0.19965797301135887
Space cool demand,kWh/m2,0.0

Electricity Summary
,kWh,timestep,month,day,hour of day
Peak half-hour consumption,5.207417796227958,6,JAN,1,7.0
,,Total
Consumption,kWh,25.356312492248062
Generation,kWh,0
"Generation to consumption (immediate, excl. diverter)",kWh,0.0
Generation to storage,kWh,0
Generation to diverter,kWh,0
Generation to grid (export),kWh,0.0
Storage to consumption,kWh,0
Grid to consumption (import),kWh,25.35631249224806
Net import,kWh,25.35631249224806
Storage round-trip efficiency,ratio,DIV/0

Delivered Energy Summary
Delivered energy by end-use (below) and fuel (right) [kWh/m2],total,mains elec
total,0.31695390615310076,0.31695390615310076
IES,0.0225,0.0225
lighting,0.0029000000000000007,0.0029000000000000007
cooking,0.04075000000000001,0.04075000000000001
immersion,0.05114593314174187,0.05114593314174187
main,0.19965797301135887,0.19965797301135887

Hot water system,Overall CoP,"Daily HW demand (kWh, 75th percentile)",HW cylinder volume (litres)
hw cylinder,0.8680515510269103,5.675531686716007,80.0

Space heating system,Overall CoP
main,1.0
